,dpi_setting,computer_no,delta_t,accuracy
10,2,1,0.682994604,1
0,2,1,0.679000616,1
1,2,1,0.581984043,1
2,2,1,0.447999954,1
3,2,1,0.778999805,0.658469944
4,2,1,1.053999901,1
5,2,1,0.246011257,0.039445081
6,2,1,0.821993113,1
7,2,1,0.947018147,1
8,2,1,0.938999176,1
9,2,1,0.73549819,1
10,2,1,1.017031908,1
11,2,1,0.626972437,1
12,2,1,0.875999928,1
0,2,1,1.66332078,1
1,2,1,1.407176971,1
2,2,1,0.946086168,1
3,2,1,0.881912231,1
4,2,1,0.568020105,1
5,2,1,0.018979549,0.324627477
6,2,1,0.79080534,1
7,2,1,1.278345346,1
8,2,1,0.963703871,1
9,2,1,0.570986748,1
0,2,1,0.808014393,1
1,2,1,0.809969902,1
2,2,1,0.666999578,1
3,2,1,0.75199914,1
4,2,1,0.502001286,1
5,2,1,0.759003401,1
6,2,1,0.678997755,1
7,2,1,0.590999126,1
8,2,1,0.858662605,1
9,2,1,0.774999857,0.865054968
10,2,1,0.744001389,1
11,2,1,0.781998873,1
12,2,1,0.7120049,1
0,1,2,2.196231127,1
1,1,2,0.535273075,1
2,1,2,0.834040642,1
3,1,2,0.835210085,1
4,1,2,1.028293132,1
5,1,2,1.210266114,1
6,1,2,0.939728975,1
7,1,2,1.003501892,1
8,1,2,0.915055037,1
0,1,2,2.541999817,1
1,1,2,0.174328089,0.059587857
2,1,2,0.686077833,1
3,1,2,0.71329999,0.845691372
4,1,2,0.357655048,0.187294345
5,1,2,0.612989902,0.936329178
6,1,2,0.896394253,1
7,1,2,0.853061914,0.746297528
8,1,2,0.727602959,1
9,1,2,0.414203167,1
10,1,2,0.91275692,1
0,1,2,1.242718935,1
1,1,2,0.72183013,1
2,1,2,0.949929953,1
3,1,2,0.576297045,1
4,1,2,1.040652037,1
5,1,2,0.918097973,1
6,1,2,0.789925814,0.91848391
7,1,2,0.809310198,1
8,1,2,0.731064796,1
9,1,2,0.644632101,1
10,1,2,0.419175863,1
11,1,2,0.450903177,0.905819669
0,1,2,0.972341061,0.838343579
1,1,2,1.14071393,1
2,1,2,1.009072304,1
3,1,2,0.826376915,1
4,1,2,0.621524811,1
5,1,2,0.520932198,1
6,1,2,0.409421921,0.628532027
7,1,2,0.507575035,1
8,1,2,0.582098007,1
9,1,2,1.110086918,1
10,1,2,1.107455015,1
11,1,2,0.480526209,1
12,1,2,0.644859791,1
0,2,2,0.828640699,1
1,2,2,0.938930273,1
2,2,2,0.665037632,1
3,2,2,0.679964304,1
4,2,2,0.464221954,1
5,2,2,0.695767879,1
6,2,2,0.611997128,1
7,2,2,0.876955032,1
8,2,2,0.376596928,1
9,2,2,0.859437943,1
10,2,2,1.071503162,0.807207353
11,2,2,0.661015034,0.641352192
12,2,2,0.457454681,1
13,2,2,0.401942015,1
0,2,2,0.900888205,1
1,2,2,1.030586958,1
2,2,2,1.666990042,1
3,2,2,1.38945508,1
4,2,2,0.790854931,1
5,2,2,0.453574896,1
6,2,2,0.476634979,1
7,2,2,0.383676052,1
8,2,2,1.250746012,1
9,2,2,0.607474089,1
10,2,2,0.552927971,1
0,2,2,0.357767105,1
1,2,2,0.499621868,0.672751903
2,2,2,0.318283081,1
3,2,2,0.72369194,1
4,2,2,0.906047106,1
5,2,2,0.799015999,1
6,2,2,0.836990833,1
7,2,2,0.523458004,1
8,2,2,0.743117094,1
9,2,2,0.511106014,1
10,2,2,0.907331228,1
11,2,2,0.603895664,1
12,2,2,0.510350227,1
13,2,2,0.618294001,1
14,2,2,1.006901979,1
0,2,2,1.218871117,1
1,2,2,0.583143234,1
2,2,2,1.141983986,1
3,2,2,1.216239691,1
4,2,2,1.261228085,1
5,2,2,0.885079145,1
6,2,2,1.205966711,1
7,2,2,0.97671032,1
8,2,2,0.536237001,1
9,2,2,0.836733818,1
0,2,2,1.068068981,1
1,2,2,0.607355118,1
2,2,2,0.585117817,0.82907008
